Sylvanas Windrunner, , legendary, , , 
Queen Azshara, , rare, , , 
Maiev Shadowsong, , epic, , , 
Malfurion Stormrage, , epic, , , 
Illidan Stormrage, , epic, , , 
Ragnaros, , legendary, , , 
High Interrogator Gerstahn, , common, , , 
Watchman Doomgrip, , common, , , 
Lord Incendius, , common, , , 
Magmus, , common, , , 
Ambassador Flamelash, , common, , , 
Chimaeron, , common, , , 
Magmaw, , common, , , 
Maloriak, , common, , , 
Halycon, , common, , , 
Shadow Hunter Vosh'gajin, , common, , , 
War Master Voone, , common, , , 
Highlord Omokk, , common, , , 
Grim Patron, , common, , , 
Gehennas, , uncommon, , , 
Firemaw, , uncommon, , , 
Baron Geddon, , uncommon, , , 
Majordomo Executus, , uncommon, , , 
General Angerforge, , uncommon, , , 
Bael’Gar, , uncommon, , , 
High Justice Grimstone, , uncommon, , , 
Leeroy Jenkins, , uncommon, , , 
The Beast, , rare, , , 
Overlord Wyrmthalak, , rare, , , 
Broodlord Lashlayer, , rare, , , 
Chromaggus, , rare, , , 
General Drakkisath, , rare, , , 
Rend Blackhand, , rare, , , 
Nefarian, , epic, , , 
Dagran Thaurissan, , epic, , , 
Deathwing, , legendary, , , 
Emeriss, , common, , , 
Ysondre, , common, , , 
Itharius, , common, , , 
Sabellian, , common, , , 
Emmigosa, , common, , , 
Stellagosa, , common, , , 
Senegos, , common, , , 
Sinestra, , common, , , 
Sapphiron, , common, , , 
Azuregos, , common, , , 
Keristrazsa, , common, , , 
Saragosa, , common, , , 
Eranikus, , common, , , 
Soridormi, , uncommon, , , 
Krasus, , uncommon, , , 
Sindragosa, , uncommon, , , 
Onyxia, , uncommon, , , 
Anachronos, , uncommon, , , 
Merithra, , uncommon, , , 
Chromie, , uncommon, , , 
Murozond, , uncommon, , , 
Wrathion, , rare, , , 
Galakrond, , rare, , , 
Kalecgos, , rare, , , 
Ebyssian, , rare, , , 
Nozdormu, , rare, , , 
Malygos, , epic, , , 
Alexstrazsa, , epic, , , 
Ysera, , epic, , , 
N’Zoth, , legendary, , , 
Twilight Lord Bathiel, , common, , , 
Domina, , common, , , 
Executioner Gore, , common, , , 
Drest’agath, , common, , , 
Dark Inquisitor Xanesh, , common, , , 
Maut, , common, , , 
Il’gynoth, , common, , , 
Zeryxia, , common, , , 
Archbishop Benedictus, , common, , , 
Loken, , common, , , 
Al’Akir, , common, , , 
Zul, , common, , , 
Vexiona, , common, , , 
Grand Empress Shek’zeer, , uncommon, , , 
Aku’mai, , uncommon, , , 
General Vezax, , uncommon, , , 
Herald Volazj, , uncommon, , , 
Xavius, , uncommon, , , 
Mythrax, , uncommon, , , 
Ossirian, , uncommon, , , 
Vek’lor, , uncommon, , , 
Vek’linash, , rare, , , 
Queen Azshara, , rare, , , 
Cho’Gall, , rare, , , 
Xal’atath, , rare, , , 
G’huun, , rare, , , 
Y’Shaarj, , epic, , , 
Yogg-Saron, , epic, , , 
C’thun, , epic, , , 
Sally Whitemane, , legendary, , , 
James Vishas, , common, , , 
Lieutenant Sanders, , common, , , 
Brother Crowley, , common, , , 
Brother Anton, , common, , , 
Huntsman Radley, , common, , , 
Quimby, , common, , , 
Jorny the Deified, , common, , , 
Captain Vachon, , common, , , 
Captain Perrine, , common, , , 
Captain Melrache, , common, , , 
Houndmaster Braun, , common, , , 
Armmaster Harlan, , common, , , 
Benedictus Voss, , common, , , 
Joseph, , common, , , 
Commander Durand, , uncommon, , , 
Brother Korloff, , uncommon, , , 
Houndmaster Loksey, , uncommon, , , 
Flameweaver Koegler, , uncommon, , , 
Arcanist Doan, , uncommon, , , 
High Inquisitor Valroth, , uncommon, , , 
Commander Rodrick, , uncommon, , , 
Bloodmage Thalnos, , uncommon, , , 
Herod, , rare, , , 
High Commander Goodchilde, , rare, , , 
Taelan Fordring, , rare, , , 
Isilien, , rare, , , 
Brigitte Abbendis, , rare, , , 
Commander Renault Mograine, , epic, , , 
Saidan Dathrohan, , epic, , , 
Thrall, , legendary, , , 
Jorin Deadeye, , common, , , 
Lantresor of the Blade, , common, , , 
Gargok, , common, , , 
Overlord Krom’gar, , common, , , 
Leoroxx, , common, , , 
Garona Halforcen, , common, , , 
Geyah, , common, , , 
Ji Firepaw, , common, , , 
Cindrethresh, , common, , , 
Kingslayer Orkus, , common, , , 
Torntusk, , common, , , 
Geya’rah, , common, , , 
Rehgar Earthfury, , common, , , 
Zekhan, , common, , , 
Rokhan, , uncommon, , , 
Nazgrim, , uncommon, , , 
Cromush, , uncommon, , , 
Hamuul Runetotem, , uncommon, , , 
Gazlowe, , uncommon, , , 
Master Gadrin, , uncommon, , , 
Eitrigg, , uncommon, , , 
Nazgrel, , uncommon, , , 
General Drek’thar, , rare, , , 
Rexxar, , rare, , , 
Orgrim Doomhammer, , rare, , , 
Vol’jin, , rare, , , 
Baine Bloodhoof, , rare, , , 
Garrosh Hellscream, , epic, , , 
High Overlord Saurfang, , epic, , , 
